PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,TIME_REMAINING_SEC,EXPECTED_FG
Karl-Anthony Towns,New York Knicks,1,1,21,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,7,1,81,0.6073455625714996
Mikal Bridges,New York Knicks,1,1,8,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,-6,7,0,68,0.6173793300601778
Andrew Wiggins,Miami Heat,1,0,59,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-93,227,0,59,0.3479667527905237
Karl-Anthony Towns,New York Knicks,1,0,49,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-239,7,1,49,0.36879327646583926
Simone Fontecchio,Miami Heat,1,0,38,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,233,3,1,38,0.369742881580647
Jaime Jaquez Jr.,Miami Heat,1,0,3,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,5,77,0,3,0.536559801076494
Guerschon Yabusele,New York Knicks,2,11,27,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,11,264,1,687,0.3421252304144163
Karl-Anthony Towns,New York Knicks,2,11,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-16,5,0,661,0.6223509753048263
Jaime Jaquez Jr.,Miami Heat,2,10,54,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,4,9,1,654,0.6322463828404399
Jordan Clarkson,New York Knicks,2,10,32,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,80,251,1,632,0.3412923502986681
Nikola Jović,Miami Heat,2,10,19,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),3,5,36,0,619,0.5985183893959768
Karl-Anthony Towns,New York Knicks,2,10,2,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,13,-3,1,602,0.6209987769027244
Simone Fontecchio,Miami Heat,2,9,49,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-126,230,0,589,0.34061452157919125
Karl-Anthony Towns,New York Knicks,2,9,35,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,192,176,1,575,0.3436286556151674
Jordan Clarkson,New York Knicks,2,9,1,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,9,11,0,541,0.6183406452719895
Simone Fontecchio,Miami Heat,2,8,46,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24,-62,232,1,526,0.35874321753570604
Jaime Jaquez Jr.,Miami Heat,2,8,19,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,5,0,499,0.617298458330239
Jordan Clarkson,New York Knicks,2,8,6,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-232,13,1,486,0.37879318882545915
Kel'el Ware,Miami Heat,2,7,45,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),5,11,55,1,465,0.5711964513865981
Miles McBride,New York Knicks,2,7,28,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),28,-176,220,1,448,0.31746811756833154
Jaime Jaquez Jr.,Miami Heat,2,7,19,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-17,17,1,439,0.6042997222089121
Mikal Bridges,New York Knicks,2,7,0,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),10,-49,90,0,420,0.5131284055374693
Norman Powell,Miami Heat,2,6,35,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),18,-105,152,0,395,0.4214255101911198
Landry Shamet,New York Knicks,2,6,19,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,228,-3,0,379,0.3877443515371015
Davion Mitchell,Miami Heat,2,6,11,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,130,222,0,371,0.3449707920973514
Norman Powell,Miami Heat,2,6,5,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-157,193,1,365,0.3556332096667683
Landry Shamet,New York Knicks,2,5,50,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),5,-16,48,0,350,0.5677747218491737
Davion Mitchell,Miami Heat,2,5,41,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,16,1,341,0.6117950656784472
Jordan Clarkson,New York Knicks,2,5,25,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),9,25,88,1,325,0.5212499962947634
Pelle Larsson,Miami Heat,2,5,15,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),9,7,96,1,315,0.5204263467931185
Miles McBride,New York Knicks,2,4,46,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-206,153,0,286,0.345176185497318
Norman Powell,Miami Heat,2,4,34,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,125,227,0,274,0.34180390024014595
Mikal Bridges,New York Knicks,2,4,8,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-158,204,1,248,0.34156366457575466
Andrew Wiggins,Miami Heat,2,3,50,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16,82,147,0,230,0.43832878335890973
Josh Hart,New York Knicks,2,3,41,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,120,216,1,221,0.35070957748219284
Andrew Wiggins,Miami Heat,2,3,22,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),3,-32,17,0,202,0.5860969583233893
Kel'el Ware,Miami Heat,2,3,19,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,1,199,0.6185644809471013
Mikal Bridges,New York Knicks,2,3,13,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,6,22,0,193,0.5962507908128877
Norman Powell,Miami Heat,2,3,6,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-9,15,1,186,0.606904839442224
Karl-Anthony Towns,New York Knicks,2,2,58,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),31,-154,272,0,178,0.27997242973341097
Karl-Anthony Towns,New York Knicks,2,2,53,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-222,144,1,173,0.33238831916759515
Norman Powell,Miami Heat,2,2,35,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24,232,63,0,155,0.3568120626095172
Karl-Anthony Towns,New York Knicks,2,2,27,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),31,-191,247,1,147,0.2802013294614903
Norman Powell,Miami Heat,2,1,42,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-232,-2,0,102,0.36765958823307837
Kel'el Ware,Miami Heat,2,1,41,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,0,101,0.6154909757343858
Andrew Wiggins,Miami Heat,2,1,35,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,228,68,0,95,0.3648452640065478
Landry Shamet,New York Knicks,2,1,23,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-237,10,1,83,0.3664363684016125
Jaime Jaquez Jr.,Miami Heat,2,1,6,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-229,20,1,66,0.37566229333228823
