PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Will Richard,Golden State Warriors,2,5,38,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,227,19,1
Jaylin Williams,Oklahoma City Thunder,2,5,24,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),25,-2,259,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,2,4,50,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),10,29,104,1
Jonathan Kuminga,Golden State Warriors,2,4,22,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),12,123,15,1
Isaiah Joe,Oklahoma City Thunder,2,4,6,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),29,-170,241,0
Gary Payton II,Golden State Warriors,2,3,49,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-138,201,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,2,3,35,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),13,-97,88,1
Stephen Curry,Golden State Warriors,2,3,11,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,20,22,0
Isaiah Joe,Oklahoma City Thunder,2,3,4,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-229,32,0
Stephen Curry,Golden State Warriors,2,2,38,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),21,-168,140,0
Cason Wallace,Oklahoma City Thunder,2,1,56,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,0,17,0
Stephen Curry,Golden State Warriors,2,1,46,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),22,-168,154,0
Chet Holmgren,Oklahoma City Thunder,2,1,16,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,-1,2,1
Jonathan Kuminga,Golden State Warriors,2,0,47,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),14,-100,106,0
Brandin Podziemski,Golden State Warriors,2,0,38,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,210,162,1
